               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  99,            0.055245,            0.033201,            0.029584,             0.75421,              0.7289,             0.72013,             0.24257,             0.06113,            0.030664,            0.030334,           0.0078311,           0.0078311,           0.0078311
                 100,            0.053539,            0.031969,            0.028383,             0.74287,             0.74228,              0.7297,             0.31158,            0.057773,            0.031131,            0.029943,           0.0077907,           0.0077907,           0.0077907
                 101,             0.05561,            0.031952,            0.029539,             0.76472,              0.7385,             0.75614,             0.27709,             0.05943,            0.030878,            0.030338,             0.00775,             0.00775,             0.00775
                 102,            0.054227,            0.033793,            0.029232,             0.73706,             0.78002,             0.76781,             0.34527,            0.056523,            0.032508,            0.030389,           0.0077091,           0.0077091,           0.0077091
                 103,            0.053861,            0.032799,             0.02916,             0.80993,             0.77419,             0.79967,             0.31345,            0.056933,            0.031778,            0.030462,           0.0076679,           0.0076679,           0.0076679
                 104,            0.051816,            0.033202,            0.028903,             0.78243,             0.74424,             0.78543,             0.36714,            0.056231,            0.032972,            0.030197,           0.0076265,           0.0076265,           0.0076265
                 105,            0.053523,            0.032376,            0.029812,             0.80689,             0.76857,              0.7889,             0.30626,            0.057048,            0.031067,            0.029807,           0.0075848,           0.0075848,           0.0075848
                 106,            0.051897,            0.031859,            0.028944,             0.77126,             0.81683,             0.80412,             0.37216,            0.055142,            0.030467,            0.029776,            0.007543,            0.007543,            0.007543
                 107,            0.054782,            0.033289,            0.029202,             0.75521,             0.82187,             0.80023,             0.35238,            0.056424,            0.029919,            0.029783,           0.0075009,           0.0075009,           0.0075009
                 108,            0.052148,            0.030872,             0.02925,             0.75967,             0.81797,             0.80351,             0.36799,            0.055768,            0.031018,            0.030007,           0.0074585,           0.0074585,           0.0074585
                 109,            0.050198,            0.031103,            0.029646,             0.76472,             0.81233,             0.79912,             0.36652,             0.05574,            0.031059,            0.029907,            0.007416,            0.007416,            0.007416
                 110,            0.049859,            0.031181,            0.028596,             0.76531,             0.75939,             0.77846,             0.36415,            0.057426,            0.032687,             0.02994,           0.0073733,           0.0073733,           0.0073733
                 111,            0.053835,            0.030927,            0.028896,             0.76004,             0.81593,             0.78273,             0.26023,            0.060014,            0.031269,            0.029654,           0.0073303,           0.0073303,           0.0073303
                 112,              0.0502,            0.030319,            0.028181,             0.78093,             0.82153,             0.80071,             0.37196,            0.055856,            0.030986,            0.029697,           0.0072872,           0.0072872,           0.0072872
                 113,             0.05529,            0.032191,            0.028599,             0.75686,             0.77268,              0.7593,             0.34441,            0.057206,            0.033004,            0.030607,           0.0072438,           0.0072438,           0.0072438
                 114,             0.05348,            0.032752,            0.029114,             0.79456,             0.81799,             0.80528,             0.34631,            0.056432,            0.032967,            0.029805,           0.0072003,           0.0072003,           0.0072003
                 115,            0.050471,            0.029125,            0.028083,             0.79714,             0.79999,             0.79829,             0.37156,            0.055455,            0.030889,            0.029695,           0.0071566,           0.0071566,           0.0071566
                 116,            0.049908,            0.030944,            0.028344,             0.77122,             0.77166,             0.76382,             0.34161,             0.05742,            0.033621,            0.030347,           0.0071127,           0.0071127,           0.0071127
                 117,            0.049274,            0.030921,            0.027728,               0.793,             0.79443,             0.79399,             0.33599,            0.058359,            0.032434,             0.03024,           0.0070686,           0.0070686,           0.0070686
                 118,            0.050664,            0.030395,            0.028978,             0.79673,             0.75041,             0.78102,             0.34435,            0.057719,            0.032206,            0.030205,           0.0070243,           0.0070243,           0.0070243
                 119,            0.050351,            0.029394,            0.028142,             0.80299,             0.73814,              0.7549,             0.22293,            0.062758,            0.031325,            0.030174,           0.0069799,           0.0069799,           0.0069799
                 120,            0.051553,            0.032654,            0.028525,              0.7431,             0.82619,             0.77936,             0.35258,            0.057151,            0.031371,            0.030485,           0.0069353,           0.0069353,           0.0069353
                 121,            0.051958,            0.031908,             0.02843,             0.82406,             0.76289,             0.79244,             0.34168,             0.05706,            0.030803,             0.03007,           0.0068906,           0.0068906,           0.0068906
                 122,            0.051598,            0.030632,            0.028208,             0.77477,             0.80679,             0.77944,             0.33019,            0.057084,            0.031435,            0.030009,           0.0068457,           0.0068457,           0.0068457
                 123,            0.050848,            0.030022,            0.028555,             0.79875,              0.7828,             0.78229,             0.31467,            0.057297,            0.031171,            0.030076,           0.0068006,           0.0068006,           0.0068006
                 124,            0.048814,            0.031569,            0.028119,              0.7667,             0.75092,             0.77302,             0.28997,             0.05921,            0.034184,            0.030076,           0.0067555,           0.0067555,           0.0067555
                 125,            0.049008,             0.02849,            0.027933,             0.77452,             0.76406,             0.76255,             0.34847,            0.056467,            0.033223,            0.030094,           0.0067101,           0.0067101,           0.0067101
                 126,            0.052012,            0.031566,            0.028229,             0.74072,             0.78287,             0.74822,              0.3212,            0.058351,            0.031776,            0.029766,           0.0066647,           0.0066647,           0.0066647
                 127,            0.050142,            0.031846,            0.028085,             0.77011,             0.78707,             0.76147,             0.34251,            0.057136,            0.032428,            0.029622,           0.0066191,           0.0066191,           0.0066191
                 128,            0.049835,            0.029987,            0.027737,             0.74861,             0.79643,             0.77591,             0.31539,            0.058767,            0.032072,            0.029508,           0.0065734,           0.0065734,           0.0065734
                 129,            0.049311,            0.029793,            0.028467,             0.76205,             0.76851,             0.75781,             0.33934,            0.056832,            0.032254,            0.029979,           0.0065276,           0.0065276,           0.0065276
                 130,            0.048495,            0.030919,            0.028301,             0.74217,             0.75406,             0.74127,             0.32296,            0.058236,            0.032353,            0.029866,           0.0064816,           0.0064816,           0.0064816
                 131,            0.047533,            0.029232,            0.027634,             0.78285,             0.77157,             0.77266,             0.34883,            0.058013,            0.031383,            0.029799,           0.0064356,           0.0064356,           0.0064356
                 132,            0.048736,            0.028605,            0.027631,             0.79979,             0.77001,             0.77443,             0.31237,            0.059085,            0.032819,            0.029904,           0.0063895,           0.0063895,           0.0063895
                 133,            0.049734,            0.030528,            0.028207,             0.74804,             0.76354,             0.75038,             0.33735,            0.057324,            0.031541,            0.029301,           0.0063432,           0.0063432,           0.0063432
                 134,            0.048954,            0.031139,            0.027046,              0.7649,             0.79167,             0.77121,             0.37266,            0.055559,            0.030885,            0.029635,           0.0062969,           0.0062969,           0.0062969
                 135,            0.048216,             0.02785,            0.027661,             0.73904,             0.79133,             0.76776,             0.33733,            0.057595,            0.030355,            0.029287,           0.0062505,           0.0062505,           0.0062505
                 136,            0.047912,            0.029334,            0.027713,             0.78596,             0.78125,             0.77074,             0.36652,            0.056095,            0.032192,            0.029863,            0.006204,            0.006204,            0.006204
